,Cluster 1,Cluster 2,Cluster 3,Cluster 5,Cluster 7
Cluster 1,,,(314.19528569148525-55.22067116497877j),,
Cluster 2,,,(-104.00000000584281-161.71858536597495j),,
Cluster 3,(-314.19528569148525+55.22067116497877j),(104.00000000584281+161.71858536597495j),,(-511.6110723300145-193.65178459408068j),(-249.9999999931074-146.1581781546695j)
Cluster 5,,,(511.6110723300145+193.65178459408068j),,
Cluster 7,,,(249.9999999931074+146.1581781546695j),,
