,Cluster 1,Cluster 2,Cluster 3,Cluster 5,Cluster 7
Cluster 1,(-51.828276700081574+25.265673555295585j),0j,(51.828276700081574-25.265673555295585j),0j,0j
Cluster 2,0j,(4.985982153661319+13.401158646155396j),(-4.985982153661319-13.401158646155396j),0j,0j
Cluster 3,(51.828276700081574-25.265673555295585j),(-4.985982153661319-13.401158646155396j),(-19.529069757033852+124.66697147036525j),(-30.08698579519791-39.091523371233336j),(2.7737610058115085-46.908615897680946j)
Cluster 5,0j,0j,(-30.08698579519791-39.091523371233336j),(30.08698579519791+39.091523371233336j),0j
Cluster 7,0j,0j,(2.7737610058115085-46.908615897680946j),0j,(-2.7737610058115085+46.908615897680946j)
