,Cluster 1,Cluster 2,Cluster 3,Cluster 5,Cluster 7
Cluster 1,(6.963159530651119-33.443274564173464j),(-2.544313338474557+10.905265477072367j),(-3.674268769649717+17.97764496182196j),(-0.38007847174138276+1.8969688281128065j),(-0.3644989507854669+2.6633952971663657j)
Cluster 2,(-2.5443133384745558+10.90526547707237j),(3.2421551761310736-53.32099820982506j),(0.6790280520384315+1.9410757210442828j),(-1.513243999571706+40.16475929894281j),(0.13637410987676024+0.3098977127656019j)
Cluster 3,(-3.6742687696497143+17.977644961821955j),(0.6790280520384316+1.9410757210442826j),(4.281042144754089-52.33821150169814j),(-0.9711441416986499+12.424387177977016j),(-0.31465728544417887+19.995103640855035j)
Cluster 5,(-0.3800784717413822+1.8969688281128059j),(-1.513243999571706+40.16475929894281j),(-0.9711441416986499+12.424387177977012j),(2.8798019514290902-59.85086496568469j),(-0.015335338417353352+5.3647496606520715j)
Cluster 7,(-0.3644989507854671+2.6633952971663657j),(0.13637410987676024+0.30989771276560213j),(-0.31465728544417915+19.995103640855024j),(-0.015335338417353461+5.364749660652074j),(0.5581174647702378-28.33314631143905j)
