,Cluster 1,Cluster 2,Cluster 3,Cluster 5,Cluster 7
Cluster 1,(16.563482346580905-52.51918147098752j),(-3.22519068107293+8.482337118125098j),(-4.163913572634986+14.361990318707221j),(-0.5118074875528383+2.1564670323225292j),(-8.662570605320138+27.518387001832586j)
Cluster 2,(-3.225190681072929+8.482337118125098j),(2.0896222881552795-26.86439245759145j),(-0.3276419561122676+9.738405248642664j),(0.08101511808423506+3.8216223195091046j),(1.3821952309456838+4.82202777131457j)
Cluster 3,(-4.163913572634986+14.361990318707223j),(-0.32764195611226776+9.738405248642668j),(3.5349312557512533-50.35766002707675j),(-0.43873300657004166+21.014767770513608j),(1.395357279566046+5.242496689213192j)
Cluster 5,(-0.5118074875528383+2.1564670323225297j),(0.08101511808423512+3.8216223195091055j),(-0.4387330065700416+21.014767770513604j),(0.5622748423364071-27.86838823996718j),(0.3072505337022393+0.8755311176219163j)
Cluster 7,(-8.662570605320132+27.518387001832586j),(1.3821952309456833+4.822027771314569j),(1.3953572795660463+5.2424966892131915j),(0.3072505337022393+0.875531117621916j),(5.577767561106161-38.458442579982275j)
